交易天数,上市公司总数,新上市公司数,上市证券总数,股票发行数量(亿股),股票流通数量(亿股),股票市价总值(亿元),股票流通市值(亿元),股票成交金额(亿元),集资总额(亿元),平均市盈率(A股),上证综合指数(收盘),投资者户数(万户),流通市值占比,流通股本占比,日均成交金额,户均市值(万元),证券化率,上市公司总数_YoY,股票市价总值(亿元)_YoY,股票成交金额(亿元)_YoY,投资者户数(万户)_YoY,上证综合指数(收盘)_YoY,上证综合指数(收盘)_lag1,平均市盈率(A股)_lag1,股票成交金额(亿元)_lag1,股票市价总值(亿元)_lag1,上证综合指数(收盘)_lag2,平均市盈率(A股)_lag2,股票成交金额(亿元)_lag2,股票市价总值(亿元)_lag2,上证综合指数(收盘)_lag3,平均市盈率(A股)_lag3,股票成交金额(亿元)_lag3,股票市价总值(亿元)_lag3,上证综合指数(收盘)_MA3,上证综合指数(收盘)_MA3_ratio,平均市盈率(A股)_MA3,平均市盈率(A股)_MA3_ratio,股票成交金额(亿元)_MA3,股票成交金额(亿元)_MA3_ratio,上证综合指数(收盘)_MA5,上证综合指数(收盘)_MA5_ratio,平均市盈率(A股)_MA5,平均市盈率(A股)_MA5_ratio,股票成交金额(亿元)_MA5,股票成交金额(亿元)_MA5_ratio,指数波动率,市盈率波动率,指数年涨跌,指数年涨跌幅,市盈率历史分位,成交额市值比,换手率估算
1.0,0.0,0.020080321285140562,0.0,0.0,0.0,0.0,0.0,0.0060899884235006835,0.16205463007473966,0.21815107102593,0.0,0.0,0.0,0.0,0.005235378476886515,0.12853502755213686,0.0,0.031298548711631104,0.0,0.07553002092551221,0.19752564861104738,0.0,1.0,1.0,0.05500199690190209,0.4085416463337137,0.24839351885490069,0.4623834196891191,0.0,0.0,0.0,0.11067357512953363,0.0,0.0,0.8406163741264854,0.0,1.0,0.0,0.0,0.33737565363640554,0.0,0.05171350260438534,0.8883306691025349,0.026712396057989918,0.0,0.45882272389915396,1.0,0.981204356842785,0.0,0.0,0.17647058823529416,0.1008402818353131,0.1008402818353131
0.75,0.0042887776983560055,0.0321285140562249,0.005131987339049196,0.037118803519598176,0.16550500922850675,0.20689799651046878,0.20463093597486257,0.07240688084467256,0.3106075051227445,0.9999999999999998,0.8006344249767725,0.03134691406648871,0.5065578840877949,0.6240120122687228,0.0721553954771073,1.0,0.20689799651046878,0.043892265435525504,1.0000000000000002,0.3226637287667214,0.2224464384839182,1.0,0.0,0.08020725388601035,0.0060899884235006835,0.0,1.0,1.0,0.09371934705066362,0.442384961135582,0.36932325326179727,0.4623834196891191,0.014592218402205986,0.11285342372974086,0.9999999999999998,0.5453370735397668,0.9354975299929426,0.5248360364286101,0.07354958021913652,0.46716081622655714,0.49746645025929315,0.7201341464540274,0.939712263073761,0.5950931324846116,0.06642900026258781,0.6063775933171216,0.9624484239791329,1.0000000000000002,1.0,1.0,1.0,0.10361445631444616,0.10361445631444616
0.5,0.021443888491779917,0.09638554216867469,0.0071601979041824165,0.07657214353463493,0.23177661796962917,0.19352827765641192,0.2741835011573557,0.05569473841865942,0.6043253956531197,0.5986471251409242,0.5427632121475341,0.062325135296777634,0.8149363714359446,0.784990990668288,0.05644360670313937,0.7138153545700328,0.19352827765641192,0.15724794879829776,0.39588933140819355,0.12841248517261442,0.16156235845557793,0.3513701648740184,0.42325946377969914,0.3676683937823835,0.07240688084467256,0.20689799651046878,0.0,0.08020725388601035,0.046811304033066346,0.05722011464050333,1.0000000000000002,1.0,0.10694399227219419,0.5739471412043856,0.3500680798308864,0.7085951456252796,0.40437544107268886,0.7185294526608331,0.07399213837069818,0.3884046519774319,0.9049671430268003,0.28007703913966764,0.9999999999999999,0.26285362442555105,0.1256684983281064,0.35700697208152815,0.3887812506374575,0.27465972222029256,0.606828967466327,0.3513701648740184,0.5798319327731093,0.08196707612686005,0.08196707612686005
0.75,0.04789135096497499,0.14457831325301204,0.010571279309179185,0.12295245346150963,0.2802954612638707,0.12102024391589719,0.224588922920009,0.029225707441595083,0.385109531393091,0.1279594137542277,0.20814526902587738,0.08844142488293721,0.8673888728801686,0.84582662550757,0.02896251496555638,0.26591357013115613,0.12102024391589719,0.23303610527634847,0.3045379750327361,0.11036075720066264,0.06058175286728085,0.30072778946018197,0.28693453462181207,0.22010362694300517,0.05569473841865942,0.19352827765641192,0.42325946377969914,0.3676683937823835,0.11041113849619966,0.25227938407175265,0.16089501280331664,0.08020725388601035,0.06072044166312975,0.17249341534742366,0.4503626509279519,0.33156124536343123,0.38179251940719827,0.26097912538248735,0.08877240026639863,0.23707817589423383,0.7871842959502784,0.0,0.7711806348481386,0.0,0.16310231794458752,0.195648039308362,0.2703978807631,0.3117968571873596,0.578322183831998,0.30072778946018197,0.04411764705882354,0.07010732597943642,0.07010732597943642
0.625,0.06433166547533953,0.10040160642570281,0.02808764328078424,0.27350317415570957,0.3628129681014118,0.14545401650097975,0.25297261338167143,0.0,0.19950101917772897,0.07384441939120634,0.24646915562103833,0.11715825711493294,0.8993251989795428,0.7866412137405193,0.0,0.2400269895892866,0.14545401650097975,0.14142350545780627,0.4609944086767206,0.09366535552674586,0.06378216219822619,0.47162718936571824,0.11003705587444601,0.04704663212435234,0.029225707441595083,0.12102024391589719,0.28693453462181207,0.22010362694300517,0.09438370637425342,0.2396746820632362,0.5160541397390562,0.3676683937823835,0.12339221345143288,0.3758018719438452,0.183338719675336,0.5264090378756953,0.14989414255469313,0.455490677601343,0.04251524002434867,0.1836196408040713,0.04680634179169463,0.33037257146608723,0.23521351906828036,0.2533257453680311,0.1344848778881486,0.1169531807702871,0.1495407655103594,0.19115655867062778,0.716847590809217,0.47162718936571824,0.019607843137254888,0.0,0.0
0.0,0.06361686919228027,0.0,0.04923020189914262,0.30719101998065,0.46738946285867594,0.12762176733272426,0.25850869777884933,0.02644461857212352,0.0,0.0,0.16227315458748648,0.1473928930900179,0.9989360599134114,0.9999999999999999,0.02850839439351857,0.06703761204798409,0.12762176733272426,0.0,0.3849151926238717,0.22574448485063028,0.05328820346551322,0.4033992072646277,0.1302971735813413,0.02715025906735752,0.0,0.14545401650097975,0.11003705587444601,0.04704663212435234,0.06899913349876988,0.17131556632571124,0.40166321180343856,0.22010362694300517,0.1075986571194366,0.36266410864409837,0.0,0.5664166351386807,0.0,0.6040676835373909,0.023828791097721153,0.38548259052086997,0.11983640790150796,0.19607113880338756,0.19102534825302597,0.19494117374476094,0.1450753553427781,0.208068016709968,0.0,0.008026319079980596,0.671338838654872,0.4033992072646277,0.0,0.06072599195069106,0.06072599195069106
0.875,0.09363831308077197,0.1686746987951807,0.07910021204019545,0.346802391986471,0.4967880325022295,0.3473153033865145,0.46678681735606964,0.44708054655063756,0.3937852985962471,0.2818489289740699,0.7772915441156258,0.19857993085641762,1.0,0.9972186256129579,0.44483642508460136,0.5876904080504879,0.3473153033865145,0.2477772859382044,0.814879264159095,1.0,0.2227240413112752,0.8134953751481302,0.08578652909976026,0.0,0.02644461857212352,0.12762176733272426,0.1302971735813413,0.02715025906735752,0.04097082747458714,0.19435123564237536,0.2532276551640045,0.04704663212435234,0.08258450147539885,0.29141404011151395,0.27424251254311227,0.9999999999999999,0.03853211009174329,0.9999999999999999,0.2907754959564368,1.0,0.10933108348838116,0.9279659126995303,0.045558346654487436,0.7707609184978081,0.34001738968727824,0.9921422552024597,0.30897868569319,0.07487403849286609,0.9310548326757987,0.8134953751481302,0.625668449197861,0.5238246196344603,0.5238246196344603
0.75,0.15511079342387424,0.35742971887550196,0.10592790633354844,0.4198024778346766,0.5425770760414053,0.4636292701065078,0.5489809266981578,1.0,0.3439637554080873,0.37373167981961664,0.9446939751617673,0.2401711084854054,0.9327278731477384,0.9737768840745019,0.9999999999999999,0.7556741617564295,0.463629270106508,0.48040462370879067,0.5466943131654008,0.35178064600033865,0.0885488130116584,0.5145786095593045,0.4109191310034148,0.10362694300518138,0.44708054655063756,0.3473153033865145,0.08578652909976026,0.0,0.06633198814156094,0.17753934981582545,0.2702280209730521,0.02715025906735752,0.05496519061416485,0.31542390331407877,0.61068138109341,0.8890540174568123,0.113620324629499,0.9553055164748349,0.929625833140288,0.805579554616041,0.29021762796405515,1.0000000000000002,0.0,1.0,0.8313377187742635,1.0,0.3923030207539009,0.11453140712079526,0.7647924885850345,0.5145786095593045,0.8529411764705885,1.0,1.0
0.75,0.2273052180128664,0.40963855421686746,0.13890169324851726,0.48932883041177133,0.6044279443656426,0.442948162681834,0.48148563202139893,0.1366021355422673,0.27373045904624294,0.2773393461104847,0.7052507737895621,0.27916539028197157,0.8118273447607547,0.9930338802749271,0.13636805453755269,0.55662757166253,0.4429481626818341,0.5188447712604245,0.3963963510928965,0.0,0.03951197032255771,0.3651746499626748,0.4994172782096926,0.13740932642487053,1.0,0.4636292701065078,0.4109191310034148,0.10362694300518138,0.4697341140852545,0.3846619965508403,0.23287891720521892,0.0,0.07995627568575271,0.2979010315744416,0.872314555308902,0.5363920937258432,0.1830628087508821,0.6807297554514743,1.0,0.0,0.5139369977435573,0.6114266721046113,0.030258049783055574,0.7892955488296045,0.8872054811779818,0.059262945830942604,0.08559155943754454,0.0,0.6136738627917045,0.3651746499626748,0.5022624434389142,0.09218063661887108,0.09218063661887108
0.75,0.38027162258756253,0.8554216867469878,0.3391106603976522,0.590479998407798,0.6509242169431906,0.5540889764413441,0.6177684117785377,0.148845242812408,0.8792670514208062,0.40755355129650495,0.8171437681764955,0.3315828628944028,0.9045560486353474,0.9341526097454494,0.14861448111037945,0.6547120008148648,0.5540889764413442,0.9999999999999999,0.5230991843956414,0.16220017989356356,0.10957527196922734,0.494934316546776,0.3728344111022305,0.10196891191709845,0.1366021355422673,0.442948162681834,0.4994172782096926,0.13740932642487053,1.0,0.4943204647608239,0.5056993049628093,0.10362694300518138,0.47747186970376165,0.5137830337814874,0.8915173060519528,0.6127489738363946,0.2145377558221595,0.7953226736028239,0.8094722756467038,0.04781795328841493,0.7707657060290569,0.5994328964415452,0.09785339118520209,0.8726692479907889,0.9646493932866144,0.056153297373624345,0.08236814082322305,0.010746596770317154,0.744174079247225,0.494934316546776,0.9579831932773113,0.07233220105032592,0.07233220105032592
0.625,0.41887062187276625,0.2248995983935743,0.39596201714759843,0.6623848512672412,0.7099913801026936,0.4077750165861266,0.497054869476268,0.09438759170652605,0.8471609387714544,0.0005636978579480756,0.37003908805532815,0.37780622292241034,0.9293716975777635,0.9448541309513964,0.09480171330795946,0.2032920915560903,0.4077750165861267,0.21818099006290037,0.2945018093671476,0.10367402571525286,0.03764118757297996,0.2806708718339628,0.43198721209038726,0.1498445595854922,0.148845242812408,0.5540889764413441,0.3728344111022305,0.10196891191709845,0.17197626048889206,0.4748227326738824,0.5799585416412633,0.13740932642487053,0.9999999999999999,0.6280790320670621,0.6146204748104622,0.39285990526423553,0.12110091743119267,0.3921574813963339,0.23092148325053843,0.2518448759294626,0.8642695261470252,0.13083961199665795,0.09796757250513821,0.28030789595828,1.0000000000000002,0.0,0.20207655745109437,0.12522188744385285,0.5365401422888743,0.2806708718339628,0.05882352941176472,0.055742818862554416,0.055742818862554416
0.75,0.5060757684060044,0.49799196787148586,0.5051780830337114,0.7363646166372633,0.7515502152490208,0.6113622264484516,0.6671007618803831,0.13270463645406003,0.5526024616029154,0.17700112739571583,0.6758275287662798,0.4212704039210537,0.9013190664286499,0.9225877761911293,0.13246949877485037,0.5200367509602286,0.6113622264484517,0.46780570034066615,0.6232119338516511,0.1954848907148236,0.0,0.603242200210414,0.19562304730073388,0.00020725388601036676,0.09438759170652605,0.4077750165861266,0.43198721209038726,0.1498445595854922,0.18371775752331496,0.5796040563288347,0.4737422265577369,0.10196891191709845,0.18405896373804942,0.6077567278295607,0.6004429162538611,0.6641159939397098,0.09597741707833463,0.6980983726071331,0.2284315646438634,0.35742416045435077,0.8186062507422509,0.4410962130735636,0.07672984699703123,0.5650632469986878,0.8364307794420077,0.06599261180140681,0.19770284025354717,0.1221593184150069,0.8161945485881383,0.603242200210414,0.3750000000000001,0.044548422906092094,0.04454842290609207
0.5,0.6697641172265905,0.9357429718875501,0.6823084723886789,0.8270131924036517,0.8256972304543206,0.8421167389200092,0.8203626893911207,0.26845999897162887,0.6057138406752622,0.2779030439684328,0.9083492306085312,0.4831491692559042,0.8209368015412803,0.9346758264377625,0.2710254186406712,0.7965870560982715,0.8421167389200092,0.8057369792601871,0.5940146042097103,0.278319237975483,0.08230938896920875,0.5452098204579562,0.357279662864201,0.06507772020725389,0.13270463645406003,0.6113622264484516,0.19562304730073388,0.00020725388601036676,0.13149128144556335,0.4416621980300387,0.5233776368735521,0.1498445595854922,0.19562912628337714,0.7169693238499046,0.6443901689545373,0.8346223684762523,0.06351446718419196,0.9283345541187519,0.3048474919483458,0.5666108503035633,0.8022495150627447,0.673073263913011,0.05731902260790145,0.7456677945738452,0.4558118327216806,0.4469036161325724,0.2416658971496843,0.07016080261843417,0.78898037197677,0.5452098204579562,0.6539792387543253,0.10026702857608288,0.10026702857608288
0.5,0.8384560400285919,0.9999999999999998,0.7929996005039796,0.9157131030205201,0.8820196891371905,0.9999999999999999,0.9999999999999999,0.39044588050813445,0.9810330890350442,0.31003382187147677,1.0,0.5593792394205943,0.8847990904924434,0.921506683249398,0.3940527936118957,0.8689605985582078,1.0,0.7253624255570523,0.5114831973325893,0.21891870201728533,0.1240298687884599,0.4828435998848802,0.4802034440165661,0.10217616580310884,0.26845999897162887,0.8421167389200092,0.357279662864201,0.06507772020725389,0.16823844516341008,0.6336001244047013,0.32504328740397515,0.00020725388601036676,0.1441647503509297,0.5731938119629643,0.9479361480060826,0.7210339009864976,0.1410021171489062,0.8036644535804925,0.4939844295753273,0.5342753929445702,0.9348996476782392,0.69673621739085,0.06394153916419276,0.7837873870912402,0.5878862766408512,0.5127054334851144,0.13254355521308805,0.01225592644802699,0.7366553129620101,0.4828435998848802,0.9019607843137256,0.1437294257970003,0.1437294257970003
0.5,0.93638313080772,0.6184738955823292,0.8889093758642943,0.9582685634862333,0.9272560159182426,0.8676481181294394,0.9075281947334113,0.31941807439064596,0.9999999999999999,0.10090191657271697,0.6973452008554293,0.6765229092818694,0.920894344635184,0.9413027674442903,0.3224185649082678,0.4164397547880929,0.8676481181294394,0.3750961219140663,0.34583614808143004,0.12192992963156642,0.2695285236536573,0.34578467389214196,0.5286550897333431,0.11398963730569944,0.39044588050813445,0.9999999999999999,0.4802034440165661,0.10217616580310884,0.29843179814452164,0.8511508372188229,0.46069015973661753,0.06507772020725389,0.18037569143014398,0.7732489218140967,0.958304414857827,0.4884450153285672,0.12194777699364856,0.5375362690421056,0.6132663723578712,0.3288712336225401,0.8809850164284869,0.43562632006533963,0.0018269011189770978,0.5518091957905764,0.6766350141031173,0.3482458544644641,0.11991071277957302,0.04751159296685632,0.590194564924404,0.34578467389214196,0.19504643962848295,0.12904701082432837,0.12904701082432837
